word	sense_number	usage_note	definition
placer	3	[]	Indiquer les places, dans une cérémonie, dans une assemblée, en parlant de celui qui est chargé de les donner.
placer	4	[]	Vendre pour le compte d'autrui.
placer	5	[]	Lancer de manière qu'elle aille tomber où le joueur le veut, en parlant d'une balle.
placer	6	[]	Apprendre les bonnes positions.
placer	7		Trouver le moyen d'exprimer.
placer	8		Attribuer avec discernement.
placer	9		Investir.
placer	10		Trouver une situation à une personne, procurer un emploi.
placer	11		Être situé.
placer	12		Qui a une place.
repeller	1		Peller à nouveau.
sic	1	[]	Textuellement ; de la façon dont cela a été dit, aussi étrange que cela paraisse. -  il s'utilise le plus souvent en italique et entre crochets comme un symbole après une erreur dans le texte original, ou pour sous-entendre que les propos tenus sont choquants.
vulgo	1	[]	En langage courant, non scientifique.
à tire-larigot	1	[]	Beaucoup, énormément.
mollo	1	['attitudinal:populaire']	Doucement, sans hâte ou sans brusquerie.
ad patres	1		Au royaume des morts.
emprunter	1		Demander et recevoir en prêt, obtenir à titre de prêt.
emprunter	2	[]	Utiliser, se servir de.
emprunter	3	[]	Se servir, user, tirer parti de ce qui est à un autre ou de ce qu'un autre fournit.
emprunter	4	[]	Introduire un mot d'une autre langue.
emprunter	5		Suivre une voie, un chemin, une route.
emprunter	6	[]	Introduire un mot d'un autre.
engatser	1	[]	Faire le beau.
engatser	2	[]	Embêter.
engatser	3	[]	Énerver.
s'entendre comme larrons en foire	1		Être de connivence, pour faire une farce ou quelque chose jugé blâmable.
en biais	1		Obliquement, de travers.
de biais	1		Obliquement, de travers.
tomber comme une bombe	1	['diachronic:vieilli']	Arriver à l'improviste.
espérer	1	['diachronic:vieilli', 'attitudinal:soutenu', 'diatopic:Acadie', 'other:Poitevin-Saintongeais']	ou  et   Attendre la venue de quelqu'un.
espérer	2	['sem:absolument']	Attendre les bienfaits divins.
espérer	3		Considérer l'objet de son souhait comme réalisable.
ne chercher que plaie et bosse	1		Rechercher ou exciter les querelles, les procès, qu'il arrive des malheurs, dans l'espérance d'en tirer profit ou simplement par malignité.
avoir la bosse	1		Avoir des dispositions naturelles pour une activité.
donner dans la bosse	1		Être dupe.
d'après la bosse	1	['domain:peinture']	D'après une figure moulée.
à la bonne	1		Favorablement.
à la bonne	2		Au jeu de reversi, se dit, quand on place le quinola ou un as sur la dernière levée, afin de recevoir un double paiement.
être âpre à la curée	1		Être très avide de butin, de lucre.
sonner la curée	1		Sonner du cor pour appeler les chiens à la curée.
mettre en curée	1		Augmenter lardeur 'des chiens par la curée qu'on leur donne.
mettre en curée	2	[]	Exciter par l'appât de quelque avantage ou être excité par quelque appât.
défendre la curée	1		Empêcher à coups de fouet que les chiens n'approchent trop tôt de la curée.
faire curée	1		Se dit des chiens qui dévorent la bête avant l'arrivée du veneur.
faire curée	2	[]	Ne pas attendre l'heure dite.
appeler un chat un chat	1	[]	Appeler les choses par leur nom ; dire les choses franchement, sans circonlocution.
frais	1		À la température assez basse.
frais	2		Nouvellement.
frais	3	[]	Relativement à un vent fort et froid, mais favorable à la navigation.
demeurer bouche béante	1	[]	Être frappé de stupeur ou d'étonnement. voir bouche bée
ablativo	1	['diafrequential:extrêmement rare', 'attitudinal:populaire']	Confusément, en désordre.
heurter	1		Entrer brusquement en contact.
heurter	2	[]	Entrer en collision avec un corps.
heurter	3	[]	Frapper à une porte pour que l'on vous ouvre.
heurter	4	[]	Contrecarrer.
heurter	5	[]	Entrer brusquement en contact.
heurter	6	['gram:pronominal', 'gram:réfléchi']	Rencontrer une difficulté majeure.
supra	1		Plus haut, ci-dessus.
avoir avalé sa langue	1		Garder le silence.
avaler	1		Faire descendre par le gosier dans l'estomac.
avaler	2		Manger ou boire rapidement ; manger sans mâcher ou en mâchant à peine.
avaler	3	[]	Parcourir, absorber rapidement.
avaler	4	['sem:figuré']	Croire.
avaler	5	['sem:figuré']	Accepter, supporter.
avaler	6	['diachronic:désuet']	Abaisser, faire descendre.
avaler	7	['diachronic:vieilli']	Couper près du tronc.
avaler	8	[]	Suivre le courant de la rivière, vers l'aval.
avaler	9	['gram:pronominal', 'gram:intransitif']	Pendre, descendre trop bas.
staccato	1	[]	De façon hachée,
bitter	1	[]	Enrouler une amarre autour d'une bitte.
bitter	1	[]	Prendre, prendre en faute.
bitter	2	[]	Comprendre.
à l'œil nu	1		Sans aide d'un instrument d'optique (loupe, microscope, télescope…).
rudoyer	1		Traiter rudement, maltraiter.
rudoyer	2		Humilier par la violence.
cuercir	1		Mourir en parlant d'une personne.
jongler	1	[]	Faire sauter plusieurs boules ou autres objets, qui s'entrecroisent en passant d'une main, voire d'un pied, dans l'autre.
jongler	2	['sem:par extension', 'sem:figuré']	Faire des tours de toute sorte.
jongler	3		Discuter des difficultés ou les résoudre en se jouant.
jongler	4		Exposer des idées, des abstractions, avec une brillante facilité.
jongler	5	['diatopic:Acadie', 'diatopic:Gaspésie']	Penser, méditer, ruminer un projet, un problème, une idée.
jongler	6		Autre sens? Verbe qui découle du mot jungle? Ou bien en rapport avec les mains et les pieds, comme pour la 1ère définition? Tarzan jongle de liane en liane dans la jungle.
s'établir solidement	1	['domain:militaire']	S'y établir de manière à ne pouvoir en être délogé.
rabattre la huppe	1		Mortifier.
vilipender	1		Traiter quelqu'un, quelque chose avec beaucoup de mépris ; dénigrer, attaquer verbalement.
dîner	1	['diatopic:France']	Prendre le repas du soir.
dîner	2	['diatopic:Belgique', 'diatopic:Canada', 'diatopic:Suisse', 'diatopic:Congo-Kinshasa', 'diatopic:Occitanie']	ou  Prendre le repas de midi.
stigmatiser	1		Marquer de stigmates.
stigmatiser	2	[]	Noter d'infamie, critiquer quelqu'un avec dureté et publiquement.
bifurquer	1		Se diviser en deux.
bifurquer	2	[]	Changer de chemin.
atermoyer	1	['domain:commerce']	Reculer les termes d'un paiement.
atermoyer	2	[]	Différer quelque chose.
atermoyer	3	[]	Remettre à plus tard, chercher à gagner du temps ; procrastiner.
atermoyer	4	[]	S'entendre avec quelqu'un pour un délai, un ajournement.
forger	1		Façonner le fer, ou quelque autre métal, par le moyen du feu et du marteau.
forger	2	[]	Trotter, en touchant les fers des pieds de devant avec les fers des pieds de derrière, en parlant d'un cheval.
forger	3	[]	Inventer, fabriquer (un mot, une expression, une histoire).
forger	4	[]	Controuver, falsifier, contrefaire.
connaitre quelque chose comme sa poche	1		Connaitre quelque chose très bien, surtout en parlant d'un lieu.
amourer	1		Rendre amoureux.
amourer	2	[]	Tomber amoureux.
amourer	3		Faire l'amour.
confluer	1		Se dit de deux cours d'eau lorsqu'ils se fondent en un seul.
confluer	2	[]	Rejoindre.
belle lurette	1		Longtemps, un certain temps déjà, un bon bout de temps.
forte	1	[]	Fort. Il se met, dans un morceau de musique, aux endroits où le son doit être renforcé. Le symbole : f.
tirer les marrons du feu	1		Se donner de la peine pour le seul profit d'autrui.
tirer les marrons du feu	2		Être celui qui tire profit de la situation.
à la louche	1	['sem:figuré']	Approximativement, en gros, environ.
à la queue leu-leu	1		En file indienne, l'un derrière l'autre, comme des loups en marche.
à la queue leu-leu	2	[]	Jeu d'enfants, ainsi appelé parce qu'à ce jeu on marche à la suite les uns des autres, comme marchent les loups, qu'on appelait autrefois leux dans certaines régions du nord de la France.
renvoyer aux calendes grecques	1	[]	Renvoyer à une date inexistante, à jamais.
à la six-quatre-deux	1	[]	Rapidement, négligemment, sans plan précis ni même imprécis.
aller au charbon	1		Aller faire quelque chose de désagréable, aller faire quelque chose de très dur.
aller au charbon	2		Se dépenser sans compter pour faire aboutir un travail.
aller au turbin	1		Aller au travail.
aller aux fraises	1	[]	Chercher un endroit isolé pour des ébats amoureux.
aller aux fraises	2	[]	Avoir un pantalon trop court.
aller aux fraises	3	['sem:figuré']	Errer sans but, battre la campagne, chercher midi à quatorze heures, être à côté de ses pompes…
ramener sa fraise	1	[]	Survenir à l'improviste.
ramener sa fraise	2	[]	Venir ; s'approcher.
ramener sa fraise	3	[]	Intervenir dans une discussion sans y être invité.
à hue et à dia	1		De façon incohérente ou contradictoire.
à hue et à dia	2	[]	Dans tous les sens, sans direction ou dans des directions opposées.
se faire appeler Arthur	1	['diatopic:France']	Se faire réprimander.
aller à vau-l'eau	1		Aller au fil de l'eau ; suivre le courant.
aller à vau-l'eau	2	[]	Aller en se dégradant ; aller à sa perte ; péricliter ; aller sans contrôle ; partir à la dérive.
aller dans le mur	1		Aller dans une mauvaise direction, aller à l'échec.
y aller mollo	1		Aller sans se presser ni se fatiguer.
attacher Pierre avec Paul	1		Attacher un bouton avec la mauvaise boutonnière.
tomber dans les pommes	1	[]	S'évanouir, perdre connaissance.
adulter	1	[]	Devenir adulte.
sortir des bornes	1		Faire ce qu'il ne convient pas de faire.
anser	1	[]	Garnir d'une anse.
bene	1		Bien.
caper	1		Enrouler une feuille de tabac autour du cigare.
caper	1	['loan:anglicisme']	Fixer une limite haute à une valeur.
hui	1	[]	Auquel nous sommes, en parlant d'un jour. Adverbe de temps servant à marquer le jour où l'on est. Ce mot a été remplacé dans la langue courante par ce qui était initialement un pléonasme, aujourd'hui, et ne s'emploie qu'en style de procédure
mater	1	[]	Mettre le roi en échec de telle sorte qu'il ne puisse plus y échapper, ce qui met fin à la partie, on dit alors échec et mat !.
mater	2		Venir à bout d'une difficulté, par exemple d'une révolte, abattre une résistance, dompter. voir matefaim
mater	3	[]	Mortifier, affaiblir.
mater	1	['attitudinal:argot']	ou  Regarder attentivement.
mater	2	['attitudinal:argot']	ou  Observer avec concupiscence, faire le voyeur.
mater	1		Rendre mat, diminuer l'éclat, matir est plus usité dans ce sens.
mater	2		Écraser, tasser une pièce de métal au marteau ou par compression.
passer	1		Aller d'un lieu à un autre, traverser un espace.
passer	2		Changer de nature, de qualité, d'état.
passer	3		Aller chez quelqu'un, visiter, rendre visite.
passer	4		Mourir, expirer.
passer	5		Traverser l'esprit.
passer	6		Être examiné, être évalué, être jugé.
passer	7		Être élu, être voté.
passer	8		Être reçu, être admis à un emploi, un grade, à un examen, un test, un cours.
passer	9		Être reçu par l'usage, avoir cours.
passer	10		S'introduire, se glisser, en parlant des choses.
passer	11		Être supportable.
passer	12		Faire la transition d'un point ou d'une matière à l'autre.
passer	13	[]	Dans divers jeux de cartes ou de plateau, ne rien faire lorsque son tour vient.
passer	14		Déborder la place où elles devraient être, en parlant des parties de vêtements.
passer	15		Changer de main, transmettre de l'un à l'autre, en parlant des choses.
passer	16		Être facile à manger, à digérer.
passer	17		S'écouler, ne pas demeurer dans un état permanent.
passer	18		Finir, cesser.
passer	19	[]	Être joué.
passer	20		Traverser.
passer	21		Transporter d'un lieu à un autre.
passer	22		Faire traverser.
passer	23		Tamiser, filtrer.
passer	24	[]	Tamiser, en parlant de substances en poudre ou en grains.
passer	25	[]	Excréter.
passer	26		Passer un calcul, des pierres.
passer	27		Transmettre, communiquer.
passer	28	[]	Transmettre la propriété d'un billet, une lettre de change, à l'ordre de quelqu'un, par un endossement.
passer	29		Vendre, en parlant d'objets.
passer	30		Aller au-delà ; excéder ; dépasser.
passer	31		Être au-dessus des forces du corps ou des facultés de l'esprit.
passer	32		Devancer.
passer	33		Surmonter en mérite, valoir mieux, de quelque manière que ce soit.
passer	34		Faire mouvoir, faire glisser une chose sur une autre.
passer	35		Exposer ; soumettre à l'action de.
passer	36	[]	Faire cuire plus ou moins rapidement.
passer	37		Toucher, mentionner.
passer	38		Omettre quelque chose, ou ne pas en parler.
passer	39		Accorder, pardonner.
passer	40		Faire par-devant notaire, en parlant des actes.
passer	41	[]	Enregistrer.
passer	42		Transférer d'un registre ou d'un chapitre à un autre.
passer	43		Consumer, employer, en parlant du temps.
passer	44		Transférer au téléphone ; mettre en relation.
passer	45		Ne pas échouer une année scolaire, un examen.
passer	46	[]	S'écouler, en parlant du temps.
passer	47	['gram:pronominal']	Se terminer.
pater	1	[]	Mettre pat.
piper	1	[]	Prendre à la pipée, frouer.
piper	2	['sem:figuré']	Tromper.
piper	3	[]	Modifier, contrefaire et altérer un dé, pour tricher au jeu.
piper	4		Imiter le cri de la chouette pour attirer les petits oiseaux.
puer	1		Sentir mauvais.
puer	2	[]	Avoir l'odeur de quelque chose de façon excessive ou incommode.
super	1	[]	Très ; extrêmement.
super	1	[]	Aspirer, sucer (quelque chose).
venter	1	[]	Faire du vent. -  On l'emploie surtout impersonnellement.
venter	2	[]	Souffler. -  Se construit alors avec le mot vent.
coucounner	1	[]	Bichonner.
avoir la boule	1		En pétanque, avoir l'avantage de jouer le premier.
aller à l'appui de la boule	1		En pétanque, jouer sa boule de manière qu'elle pousse celle du joueur avec qui l'on est associé.
aller à l'appui de la boule	2	[]	Seconder.
tenir pied à boule	1		Tenir le pied à l'endroit même où la boule s'est arrêtée.
tenir pied à boule	2	[]	Tenir ferme, sans reculer.
rendre la boule	1	[]	rendre coup pour coup.
à boule vue	1	[]	Précipitamment, avec peu d'attention. Cette locution a aussi signifié avec réflexion, en connaissance de cause.
être sur la paille	1	[]	Être dans une grande misère.
être sur la paille	2	[]	Être ruiné.
s'y casser les dents	1		Échouer en affrontant quelque chose ou quelqu'un.
au petit bonheur la chance	1	[]	À l'aventure, au hasard, à tout hasard.
au taquet	1	[]	Se dit d'une pièce mobile en fin de course ou accrochée au taquet.
au taquet	2	['sem:figuré']	À fond, au maximum.
au taquet	3	['sem:figuré']	Très motivé, déterminé.
au taquet	4	[]	Toujours au même endroit, en parlant de la façon d'élever ou de nourrir des oiseaux en liberté.
au violon	1		En prison.
avaler la grenouille	1	[]	Variante de manger la grenouille : S'approprier l'argent d'autrui, que l'on a en garde, pour le dilapider.
avaler la grenouille	2		Faire faillite.
avaler une couleuvre	1		Devoir faire ou accepter quelque chose que l'on ne veut pas.
avaler une couleuvre	2		Subir une humiliation.
faire le gros dos	1		Se dit des chats lorsqu'ils relèvent leur dos en bosse en signe tantôt de colère et tantôt de plaisir.
faire le gros dos	2	[]	Céder, se résigner à ce qui arrive de fâcheux, dans l'attente ou l'espoir d'une amélioration.
faire le gros dos	3	[]	Sembler se prêter avec plaisir à ce qu'on lui dit ou à ce qui lui arrive.
en avoir plein le dos	1	[]	Être excédé à cause d'une personne ou d'une chose.
équivaloir	1		Être de même valeur.
équivaloir	2		Être à peu près le même que, en parlant de choses autres que celles qui ont un prix intrinsèque, une valeur matérielle.
équivaloir	3	[]	Avoir la même valeur.
faire la grasse matinée	1		Rester au lit après son réveil ou bien après l'heure habituelle ; dormir, se lever tard dans la matinée.
en avoir plein les bottes	1	[]	Être las, être fatigué d'une situation qui a trop duré.
botter en touche	1	[]	Dégager la balle au pied de manière à ce qu'elle sorte en touche. Stratégie au rugby pour gagner du terrain, pour calmer le jeu, ou pour se sortir d'une situation dangereuse.
botter en touche	2	['attitudinal:familier']	Remettre à plus tard, déplacer ou éviter le sujet d'une discussion, éviter une situation, fuir.
humidifier	1		Rendre humide, ou plus humide.
à la force du poignet	1	[]	En fournissant un grand effort.
la force des choses	1		L'évidence d'une affirmation.
enter	1	[]	Greffer en insérant un scion.
enter	2	[]	Lier, attacher, joindre.
enter	3		Se dit d'une personne qui joint ensemble diverses qualités.
enter	4		Se dit pareillement de qualités morales, bonnes ou mauvaises, qui viennent se joindre à d'autres.
furioso	1	[]	D'une manière furieuse, en parlant d'une composition musicale.
ken	1		Faire l'amour.
lars	1	[]	Beaucoup, très
refileter	1		Fileter à nouveau.
refilialiser	1		Filialiser à nouveau.
refilouter	1		Filouter à nouveau.
regruger	1		Gruger de nouveau.
regruter	1		Gruter à nouveau.
contre-foutre	1		Variante orthographique de contrefoutre.
coqueliner	1		Chanter (pour un coq).
coqueliner	2	[]	Faire la cour à une femme.
à chevauchons	1	['diafrequential:rare']	À califourchon.
tournasser	1		Façonner sur le tour, avec un outil spécifique (tournassin), une poterie dont la terre est sèche mais non encore cuite.
reguigner	1		Guigner à nouveau.
réinfester	1		Infester de nouveau.
réinnover	1		Innover à nouveau.
réinonder	1		Inonder à nouveau.
réinquiéter	1		Inquiéter de nouveau.
réinsinuer	1		Insinuer quelque chose une nouvelle fois.
réinsoler	1		Insoler à nouveau.
réinsolubiliser	1		Insolubiliser à nouveau.
réinsonoriser	1		Insonoriser à nouveau.
réinspirer	1		Inspirer à nouveau.
remitiger	1		Mitiger à nouveau.
remitonner	1		Mitonner à nouveau.
remitrailler	1		Mitrailler à nouveau.
repapoter	1		Papoter à nouveau.
reréaliser	1		Réaliser à nouveau.
reréchauffer	1		Réchauffer à nouveau.
rerédiger	1		Rédiger à nouveau.
revendanger	1		Vendanger à nouveau.
reventiler	1		ventiler à nouveau.
reverbaliser	1		Verbaliser à nouveau.
deci deça	1		Par-ci, par-là ; comme-ci, comme-ça.
présensibiliser	1		Commencer à sensibiliser préalablement (quelqu'un, ou un matériau).
pré-sensibiliser	1		Autre orthographe, moins fréquente, de présensibiliser.
reblandir	1	[]	Faire de nouvelles caresses à (quelqu'un).
rebrunir	1		Brunir une seconde fois.
réclaircir	1		Éclaircir de nouveau.
recrochir	1	[]	Crochir à nouveau.
reparaitre	1		voir reparaître
contrecrisser	1	['diatopic:Québec', 'attitudinal:populaire']	ou  Se moquer, se foutre complètement d'une chose ou d'une personne.
contre-crisser	1		Variante orthographique de contrecrisser.
redériver	1		Dériver à nouveau.
refriper	1		Friper à nouveau.
refriser	1		Friser à nouveau.
refrisotter	1		Frisotter à nouveau.
refritter	1		Fritter à nouveau.
refroisser	1		Froisser à nouveau.
refrôler	1		Frôler à nouveau.
refroncer	1		Froncer à nouveau.
refronder	1	[]	Fronder à nouveau.
refrustrer	1		Frustrer à nouveau.
refulminer	1		Fulminer à nouveau.
refumiger	1		Fumiger à nouveau.
refuseler	1		Fuseler à nouveau.
refusiller	1		Fusiller à nouveau.
refusionner	1		Fusionner à nouveau.
regâcher	1		Gâcher à nouveau.
regaffer	1		Gaffer à nouveau.
regager	1		Gager à nouveau.
récrouir	1		Écrouir à nouveau un métal qu'on a fait recuire.
réélargir	1		Élargir à nouveau.
réensevelir	1		Ensevelir à nouveau.
refléchir	1		Fléchir à nouveau.
refourbir	1		Fourbir à nouveau.
refournir	1		Fournir à nouveau.
refranchir	1		Franchir à nouveau.
regaillardir	1	[]	Rendre plus gaillard, plus vif.
regrandir	1		Grandir à nouveau.
rejaunir	1		Jaunir à nouveau.
rembellir	1		Faire redevenir beau.
remunir	1		Munir à nouveau.
renforcir	1	[]	Rendre plus fort.
renformir	1		Revêtir un vieux mur d'un crépi épais pour le consolider, y mettre des moellons là où il en manque.
renfouir	1		Enfouir à nouveau.
renhardir	1		Rendre de la hardiesse, du courage.
renoircir	1		Noircir à nouveau.
répaissir	1		Épaissir à nouveau.
répaissir	2		Redevenir plus épais.
repétrir	1		Pétrir à nouveau.
replanir	1		Finir un ouvrage de menuiserie avec le rabot et le racloir.
reréfléchir	1		Réfléchir à nouveau.
rerétrécir	1		Rétrécir à nouveau.
resalir	1		Salir à nouveau.
resarcir	1		Raccommoder (du linge, un vêtement).
ressertir	1		Sertir à nouveau.
retiédir	1		Tiédir à nouveau.
retontir	1	[]	Retentir.
retontir	2	[]	Rebondir.
retontir	3	[]	Surgir de nulle part, arriver à l'improviste.
rétroagir	1		Opérer rétroactivement ; avoir une force rétroactive.
revernir	1		Vernir à nouveau.
rondir	1		Prendre une forme ronde.
rondir	2		Tailler l'ardoise.
sancir	1	[]	En parlant d'un navire, couler bas en plongeant d'abord son avant.
saurir	1		Étendre (des harengs) sur des claies dans un lieu clos, et leur donner de la fumée de feuilles ou de tan.
saurir	2	[]	Fumer (un jambon).
sous-enchérir	1		Proposer un prix plus bas, dans une vente aux enchères.
sous-réagir	1		Réagir insuffisamment, ou moins que la normale.
splendir	1		Avoir de la splendeur.
superfinir	1		Assurer la superfinition de.
sur-réagir	1		Réagir excessivement ou plus que la normale.
surréagir	1		Réagir excessivement ou plus que la normale.
surinvestir	1		Investir excessivement.
surnourrir	1		Nourrir excessivement.
toussir	1	[]	Tousser.
tripolir	1	[]	Donner le poli, à un ouvrage, avec le tripoli.
vioquir	1	[]	Devenir un vioque, vieillir.
glottorer	1		Pousser son cri, en parlant de la cigogne.
grésillonner	1		Pousser son cri, en parlant du grillon, de la sauterelle.
grésillonner	2		Faire un bruit comparable.
piotter	1		Faire entendre un cri, en parlant d'une couvée de petits oiseaux.
pupuler	1		Pousser son cri, en parlant de la huppe.
rossignoler	1		Chanter, en parlant du rossignol.
rossignoler	2		Chanter mélodieusement, en parlant d'autres oiseaux.
tirelirer	1		Faire entendre son chant, en parlant de l'alouette.
tireler	1		Faire entendre son chant, en parlant de l'alouette.
rétriller	1		Étriller à nouveau.
solifluer	1		Glisser par solifluxion (pour un sol).
supérioriser	1		Rendre supérieur, considérer ou faire considérer comme supérieur.
désenvoûter	1		Faire cesser l'envoûtement que subit quelqu'un.
réenvoûter	1		Envoûter à nouveau.
réescalader	1		Escalader à nouveau.
réescamoter	1		Escamoter à nouveau.
réenvelopper	1		Envelopper à nouveau.
réenvenimer	1		Envenimer à nouveau.
schuss	1		Rapidement, avec célérité.
recongratuler	1		Congratuler à nouveau.
reconfronter	1		Confronter à nouveau.
recongédier	1		Congédier à nouveau.
recongestionner	1		Congestionner à nouveau.
reconglomérer	1		Conglomérer à nouveau.
schnouffer	1	[]	Se droguer, plus précisément en snifant.
schnouffer	2	[]	Sentir mauvais, puer.
schnouffer	3	[]	Avoir l'apparence.
scolastiquement	1		De façon scolaire ou scolastique.
couler un bronze	1	[]	Aller à la selle.
déshabiller Pierre pour habiller Paul	1	[]	Résoudre un problème en en aggravant un autre. Payer une dette en en contractant une autre.
renaitre	1		Orthographe alternative de renaître.
croire bon	1		Penser à tort avoir choisi une bonne solution.
n'avoir que la peau sur les os	1		Être très maigre.
s'affaisser	1	[]	.
s'absoudre	1	[]	.
se pignoler	1	[]	.
vasectomiser	1		Sectionner les canaux déférents, pratiquer une vasectomie pour rendre stérile un homme ou un animal mâle, les spermatozoïdes ne pouvant plus être transportés des testicules à l'urètre.
à qui mieux-mieux	1		Variante orthographique de à qui mieux mieux.
n'avoir que la peau et les os	1		Être très maigre.
aussi-tôt que	1	['diachronic:vieilli']	Graphie ancienne de aussitôt que.
aussi-tôt	1	[]	Orthographe ancienne de aussitôt.
vuider	1	[]	Variante de vider.
revuider	1	['diachronic:vieilli']	Graphie ancienne de revider.
passer à tabac	1		Frapper (quelqu'un) avec violence, en donnant de nombreux coups.
sous-égaliser	1		Faire passer la poudre au sous-égalisoir.
sous-sombrer	1	[]	Se dit d'un bâtiment qui s'enfonce entièrement dans la mer, après avoir sombré.
sous-limiter	1		Être au-dessous d'une certaine limite.
sous-amender	1		Apporter une modification à un amendement.
diélectriquement	1		À la manière d'un diélectrique.
piane-piane	1	['diachronic:désuet']	Tout doucement.
moderato	1	[]	Indique un mouvement intermédiaire entre le lento et le presto.
canonialement	1		D'une façon canoniale.
chemiquer	1		Dans la fabrication des allumettes chimiques, appliquer au bout des allumettes la pâte phosphorée, par opposition à la taille du bois et autres manipulations.
ministériellement	1		Dans la forme ministérielle.
tutorer	1		Assurer le tutorat (d'un élève).
encrypter	1	[]	&lt;ref&gt;« Chiffrement » sur Wikipédia.&lt;/ref&gt; Crypter, chiffrer.
bimensuellement	1		Qui a lieu deux fois par mois.
bimensuellement	2		Qui a lieu tout les deux mois.
se faire plaisir	1	[]	Faire quelque chose de plaisant en s'y abandonnant volontiers.
se faire plaisir	2		S'offrir quelque chose que l'on ne se permettrait pas habituellement, généralement quelque chose d'un peu couteux et pas forcément nécessaire.
enjabler	1		Mettre un fond à une futaille.
enjaler	1	[]	Pour une ancre à jas amovible ou mobile, mettre le jas en position, afin de rendre celle-ci fonctionnelle. Déjaler définit l'opération inverse.
dépétrifier	1		Faire sortir de la stupéfaction.
dépétrifier	2	[]	Sortir de la stupéfaction.
réajourner	1	[]	Ajourner de nouveau.
endouzainer	1		Mettre par douzaine.
sforzando	1	[]	En forçant. Indique, sur une partition, que l'on doit passer du piano au forte avec gradation.
réentrouvrir	1		Entrouvrir à nouveau.
enlinceuler	1	[]	Couvrir d'un linceul.
venir à bout	1		Atteindre ses objectifs.
venir à bout	2		Vaincre.
venir à bout	3		Se débarrasser définitivement.
paysanner	1	[]	Vivre à la manière des paysans.
bâtardement	1		Par voie de bâtardise.
tauricider	1	[]	Combattre et tuer les taureaux dans les courses de taureaux.
synodalement	1		En synode.
à la brune	1	[]	Au soir, au crépuscule.
slargando	1	[]	Mot italien qui, sur les partitions, indique qu'on doit donner plus de largeur au mouvement.
conjonctionnellement	1		Avec la valeur d'une conjonction.
conjonctivement	1		D'une manière conjointe.
faire de la peine	1	[]	Peiner, humilier, désoler.
déconstruire	1	[]	Démonter un texte afin d'en extraire les postulats implicites.
déconstruire	2		Démolir un édifice comme il fut construit.
déconstruire	3		Faire de la rétroingénierie pour comprendre le fonctionnement d'un produit ou d'un méchanisme.
correctivement	1		De manière à corriger
correctivement	2		Comme correctif
enfourrer	1		Mettre les feuillets de vélin dans les fourreaux.
enfourrer	2		Bourrer l'intérieur des colliers.
enverrer	1		Mettre dans un vase neuf une petite quantité de verre en fusion, pour enlever la crasse ou la poussière du vase.
chauffer les fesses	1	[]	Administrer une fessée.
rudéraliser	1	[]	Transformer un terrain ou sa végétation par une activité humaine désordonnée (décombres, terrains vagues, etc.)
lever l'ancre	1	[]	Remonter l'ancre du fond de la mer dans le but de bouger le bateau.
lever l'ancre	2	['attitudinal:familier']	S'en aller.
enfuir	1	[]	Échapper rapidement quelque part.
enfuir	2	[]	Fuir, s'échapper de quelque part.
enfuir	3	['gram:pronominal']	S'écouler d'un pot, d'un vase, en parlant d'une liqueur.
enfuir	4	['gram:pronominal']	Passer, disparaître, se dissiper.
serrément	1		D'une manière serrée, parcimonieuse, avare.
larronner	1		Être larron, se livrer au vol.
se saigner aux quatre veines	1		Se priver en sacrifiant son bien-être ou son confort pour le profit de quelqu'un de cher.
porter la culotte	1	['sem:figuré']	Assurer le rôle dominant dans un couple.
adjectiviser	1		Transformer en adjectif, utiliser comme adjectif.
au jour d'aujourd'hui	1		Aujourd'hui.
agrainer	1		Répandre du grain pour la nourriture des animaux qu'on élève dans les garennes.
ameuler	1	[]	Mettre en meule.
ameuler	2	[]	Aiguiser.
annualiser	1		Rendre annuel.
anonymer	1	[]	Rendre anonyme de manière irréversible. Par exemple on anonyme les données informatiques d'un logiciel dans le cadre d'une démonstration. A l'inverse on va anonymiser une copie d'un élève. On doit pouvoir retrouver l'élève pour lui attribuer la note de sa copie.
aplomber	1		Mettre d'aplomb.
buffler	1		Polir en utilisant un buffle en cuir.
cadmier	1		Appliquer une couche de cadmium sur (quelque chose).
cannibaliser	1		Accaparer (en particulier, le marché d'un produit déjà commercialisé).
cannibaliser	2		Utiliser les pièces d'une machine pour en réparer une autre.
en commun	1		Ensemble.
cocoler	1		Dorloter, choyer.
cocoller	1		Dorloter, choyer.
coéditer	1		Éditer en commun.
contracturer	1	[]	Opérer un resserrement dans les parties supérieures des colonnes.
contracturer	2	[]	Déterminer la contracture d'un muscle.
contretyper	1	[]	Copier en réalisant un contretype.
craminer	1		Fouler et amollir les peaux avant de les tanner.
craminer	2		Étirer les peaux sur un chevalet.
crevoter	1	[]	Dépérir peu à peu.
criticailler	1	[]	Critiquer sur des détails, critiquer pour critiquer.
cyanurer	1		Procéder à la cyanuration de.
débâcher	1		Enlever une bâche.
débraser	1		Séparer (des pièces qui avaient été brasées).
décambrer	1		Redresser (ce qui était cambré).
déchlorurer	1		Enlever le chlorure de.
faire contre mauvaise fortune bon cœur	1		Ne pas se laisser décourager par les difficultés.
faire contre mauvaise fortune bon cœur	2		Savoir se contenter de ce qu'on a, ne pas trop en vouloir.
faire contre mauvaise fortune bon cœur	3		Accepter un compromis.
toucher du bois	1	[]	Conjurer le mauvais sort.
