word	sense_number	usage_note	definition
démilitariser	1		Ôter le caractère militaire.
tancer	1	[]	Réprimander, admonester, morigéner.
biberonner	1		Boire à l'aide d'un biberon.
biberonner	2	['attitudinal:familier']	S'adonner à la boisson régulièrement, avoir une dépendance alcoolique.
biberonner	3		Fournir à boire à l'aide d'un biberon.
biberonner	4	['sem:figuré']	Élever, éduquer, former à un jeune âge.
juger sur l'étiquette	1	['diachronic:vieilli']	Porter un jugement hâtif, sans en avoir examiné les raisons.
être à la masse	1	[]	Être relié à la terre par un conducteur de faible résistance
être à la masse	2	[]	Être fou, être inconscient.
être à la masse	3	[]	Être dépassé par les évènements.
redessiner	1		Dessiner de nouveau.
redessiner	2	[]	Faire un nouveau tracé.
végétaliser	1		Donner le caractère végétal, la structure végétale.
végétaliser	2		Recouvrir de végétaux.
ségrégativement	1		Séparément; d'une manière ségrégative.
tiauler	1	[]	Jouer une sorte d'air particulier au Nivernais.
retuer	1		Tuer une seconde fois.
indécisivement	1		D'une manière non décisive.
repâlir	1		Pâlir de nouveau.
à grande échelle	1		De manière importante, en grand.
à grande échelle	2	[]	À grande dimension.
à grande échelle	3	['domain:physique']	Aux dimensions usuelles par opposition aux échelles mésoscopique et microscopique.
sur une grande échelle	1		De manière importante : en grand.
shunter	1		Munir d'un shunt.
shunter	2		Court-circuiter ; dériver.
vivre d'amour et d'eau fraîche	1		Vivre de façon insouciante.
réappeler	1		Recommencer l'appel.
réappeler	2		Faire un nouvel appel devant une juridiction.
chabaniser	1	[]	Éliminer, ou contribuer à l'élimination à l'occasion d'une élection (généralement présidentielle), d'un candidat de son camp qui était censé l'emporter ou au moins être présent au second tour.
bronsoniser	1		Jouer de la façon caractéristique de Charles Bronson.
bronsoniser	2	['sem:par extension']	Se muer en vengeur implacable.
bronsoniser	3	[]	Faire mourir, mourir ou disparaitre, en parlant d'une personne ayant connu la célébrité.
taguer	1	[]	Faire des tags (des graffitis) sur.
taguer	2	['domain:programmation']	Ajouter un tag, une étiquette utilisé pour catégoriser des données.
avoir un nom à coucher dehors	1	[]	Avoir un nom difficile à écrire ou à prononcer.
payer son écot	1	['sem:figuré']	Se dit de quelqu'un qui, dans un repas, a diverti les convives.
payer son écot	2		S'emploie aussi en d'autres occasions.
concasser	1		Réduire en petites parties, avec le marteau ou le pilon, quelque matière dure ou sèche, comme le sucre, le poivre, etc.
concasser	2	[]	Pour les tomates : couper en petits dés après avoir enlevé les pépins et la peau.
empierger	1		Se prendre les pieds dans un obstacle et en perdre l'équilibre au point de tomber face contre sol.
empierger	2		Se dit également quand, au cours de la marche, la course du pied est interrompue par la jambe opposée.
s'empierger	1		Se prendre les pieds dans un obstacle et en perdre l'équilibre au point de tomber face contre sol.
s'empierger	2		Se dit également quand, au cours de la marche, la course du pied est interrompue par la jambe opposée.
être messé	1	[]	Avoir entendu la messe.
au pair	1		À égalité, à parité, en parlant de celle entre le capital nominal d'une valeur et son cours actuel.
au pair	2	[]	Sans arriéré.
au pair	3	[]	Se dit de l'emploi offert à quelqu'un en lui offrant logement et nourriture avec ou sans rémunération en l'échange d'un service donné.
plucher	1		Autre orthographe de pelucher.
déstabiliser	1		Rendre instable.
déstabiliser	2		Faire perdre sa contenance, perturber.
aristocratiser	1		Rendre aristocrate.
aristocratiser	2	[]	Devenir aristocrate.
aristocratiser	3	['gram:intransitif', 'diafrequential:rare']	Professer l'aristocratie; l'exercer.
décalotter	1		Enlever la calotte, se découvrir.
décalotter	2		Mettre à découvert en ôtant la partie supérieure.
décalotter	3	[]	Découvrir le gland en tirant le prépuce vers le bas du pénis.
ébrener	1	['diachronic:vieilli']	Ôter les matières fécales d'un enfant.
confondre vitesse et précipitation	1		Agir trop vite, précipitamment.
emmouscailler	1	[]	Embêter, emmerder (vulgaire), ennuyer, importuner, être pénible ou fastidieux.
emmouscailler	2	[]	Se compliquer la vie.
opinément	1	[]	Bien à propos.
raccuser	1	[]	Rapporter, dénoncer, venir se plaindre de l'action d'autres enfants (auprès des parents, de l'institutrice).
poubelliser	1	[]	Mettre à la poubelle, à la corbeille.
poubelliser	2	['domain:informatique', 'attitudinal:familier']	Supprimer (un fichier informatique).
aller plus vite que la musique	1		Aller vite en besogne, être trop pressé.
sentencier	1	['diachronic:vieilli']	Condamner par une sentence, et surtout par une sentence en matière criminelle.
sentencier	2	['sem:par extension']	Donner un avis abrupt, délivrer une sentence.
de toute évidence	1		Apparaissant immédiatement comme certain.
proéminer	1	[]	Faire une proéminence, une protubérance.
guère	1		Presque pas ; presque rien. -
guère	2		Presque personne excepté ; presque rien excepté.
